"ROUNDQUANT"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"XSIZE2"	"UPC"	"XGENDER1"	"XGENDER2"	"FACTORYCOD"	"COUNTRYCODE"	"XCOLORBAR"	"NIKEPO"	"XSPORT_ACTIVITY2"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C3702409A895404"	"HTTPS://QR.NIKE.COM/04MNHFXM1734E"	"1"	"WHITE"	"1" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C37025DB43B6804"	"HTTPS://QR.NIKE.COM/047K0R7EKFGJA"	"1"	"WHITE"	"2" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C37026C32205404"	"HTTPS://QR.NIKE.COM/04MRH50B5AGVE"	"1"	"WHITE"	"3" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C37026EC5FB1004"	"HTTPS://QR.NIKE.COM/04HTV7N6MN42Z"	"1"	"WHITE"	"4" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C37026EA89B6C04"	"HTTPS://QR.NIKE.COM/04SF68Q1QER4N"	"1"	"WHITE"	"5" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C370273C3498004"	"HTTPS://QR.NIKE.COM/04TSB387G17N5"	"1"	"WHITE"	"6" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C370242AA45A004"	"HTTPS://QR.NIKE.COM/04JC8QPGJD5FB"	"1"	"WHITE"	"7" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C370259DBF33C04"	"HTTPS://QR.NIKE.COM/04P7Q9GGG5GMF"	"1"	"WHITE"	"8" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C370259B3FA2804"	"HTTPS://QR.NIKE.COM/04D8PK07GQSK9"	"1"	"WHITE"	"9" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C370266F02A4C04"	"HTTPS://QR.NIKE.COM/04VN5GEG9HHTD"	"1"	"WHITE"	"10" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C370258D5657404"	"HTTPS://QR.NIKE.COM/04S63QTP2Y9CC"	"1"	"WHITE"	"11" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C37024969119004"	"HTTPS://QR.NIKE.COM/04M9T2GC0V1HZ"	"1"	"WHITE"	"12" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C3702447D269804"	"HTTPS://QR.NIKE.COM/04QT0BRMQMR4W"	"1"	"WHITE"	"13" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C3702565ABA0804"	"HTTPS://QR.NIKE.COM/049J65CVMCYFQ"	"1"	"WHITE"	"14" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C37024BCA4F5404"	"HTTPS://QR.NIKE.COM/04TC0SDMVAPX0"	"1"	"WHITE"	"15" 
"1"	"HJ0584"	"010"	"SPTCAS"	"XXL"	"TTG"	"197859563296"	"MENS"	"HOMME"	"SHK"	"03566"	"WHITE"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C370242EA9DEC04"	"HTTPS://QR.NIKE.COM/04K50Z3RTHHRY"	"1"	"WHITE"	"16" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4C01F2B404"	"HTTPS://QR.NIKE.COM/04WQQ3E6A84F0"	"2"	"RED"	"17" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C70ADCE8404"	"HTTPS://QR.NIKE.COM/04JVKKGKZE1W1"	"2"	"RED"	"18" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C68F45C4404"	"HTTPS://QR.NIKE.COM/04JGKT7M3ASBZ"	"2"	"RED"	"19" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C593E548004"	"HTTPS://QR.NIKE.COM/04MFY5NR1ZV66"	"2"	"RED"	"20" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6299763404"	"HTTPS://QR.NIKE.COM/04T56ZAMHMSGR"	"2"	"RED"	"21" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C711CE3B004"	"HTTPS://QR.NIKE.COM/04N0QPM34X0RH"	"2"	"RED"	"22" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C5F337B5004"	"HTTPS://QR.NIKE.COM/04SNJQA8PF1J5"	"2"	"RED"	"23" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C453806C804"	"HTTPS://QR.NIKE.COM/04G55HRY2TW9D"	"2"	"RED"	"24" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C79DFCC6004"	"HTTPS://QR.NIKE.COM/04B34QKYWE4FE"	"2"	"RED"	"25" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C7D36F47C04"	"HTTPS://QR.NIKE.COM/04S7G9C6VCXAR"	"2"	"RED"	"26" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4435238C04"	"HTTPS://QR.NIKE.COM/046F509ZTQ63P"	"2"	"RED"	"27" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C5CBD00B004"	"HTTPS://QR.NIKE.COM/048P70R0RE5D1"	"2"	"RED"	"28" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C71DC5C7804"	"HTTPS://QR.NIKE.COM/04EKBPNKDD9QZ"	"2"	"RED"	"29" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6375537C04"	"HTTPS://QR.NIKE.COM/04A424GDCJH3F"	"2"	"RED"	"30" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4724B09404"	"HTTPS://QR.NIKE.COM/04FNJDYZBE2T3"	"2"	"RED"	"31" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C7D49809004"	"HTTPS://QR.NIKE.COM/045XVSKGMMVWB"	"2"	"RED"	"32" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C701D902404"	"HTTPS://QR.NIKE.COM/0432R5V4B691T"	"2"	"RED"	"33" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C517E16A404"	"HTTPS://QR.NIKE.COM/04PPM8AA3R8QS"	"2"	"RED"	"34" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4B83A5E804"	"HTTPS://QR.NIKE.COM/04WM9YVRHW9A2"	"2"	"RED"	"35" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C47ABACDC04"	"HTTPS://QR.NIKE.COM/041ACVNVK28ZA"	"2"	"RED"	"36" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C53706A6C04"	"HTTPS://QR.NIKE.COM/04P0E6DE4N7MD"	"2"	"RED"	"37" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C529A8B4C04"	"HTTPS://QR.NIKE.COM/04AG4XPP7MYYQ"	"2"	"RED"	"38" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6A26D43404"	"HTTPS://QR.NIKE.COM/04K81WA5ACWYQ"	"2"	"RED"	"39" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C60375D4804"	"HTTPS://QR.NIKE.COM/04BYVJ3PDYVDT"	"2"	"RED"	"40" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C7520B67804"	"HTTPS://QR.NIKE.COM/04ANCMW1W850W"	"2"	"RED"	"41" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C7421606804"	"HTTPS://QR.NIKE.COM/047NW91GTNKHF"	"2"	"RED"	"42" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C78FC21B804"	"HTTPS://QR.NIKE.COM/04WKF7F5KRE0R"	"2"	"RED"	"43" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C422AAD7004"	"HTTPS://QR.NIKE.COM/04M5E43GGK1GJ"	"2"	"RED"	"44" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C51EC995404"	"HTTPS://QR.NIKE.COM/04G2C7JRVJSN0"	"2"	"RED"	"45" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6E22733804"	"HTTPS://QR.NIKE.COM/04PZC5K002J9F"	"2"	"RED"	"46" 
