"ROUNDQUANT"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"XGENDER1"	"UPC"	"XRETAIL"	"DESCRIP1"	"DESCRIP2"	"DESCRIP3"	"DESCRIP4"	"DESCRIP5"	"DESCRIP6"	"DESCRIP7"	"DESCRIP8"	"DESCRIP9"	"DESCRIP10"	"DESCRIP11"	"DESCRIP12"	"DESCRIP14"	"NIKEPO"	"XCOLORBAR"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B80E437B804"	"HTTPS://QR.NIKE.COM/042RS1DEA8N35"	"9"	"RED"	"1" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B8162E72C04"	"HTTPS://QR.NIKE.COM/04NP8JTDDSNVM"	"9"	"RED"	"2" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B827B572804"	"HTTPS://QR.NIKE.COM/04XRT6JP782GY"	"9"	"RED"	"3" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B842ABAE404"	"HTTPS://QR.NIKE.COM/04VHGGWF21WEP"	"9"	"RED"	"4" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B853A196C04"	"HTTPS://QR.NIKE.COM/04NPYANYBK7K7"	"9"	"RED"	"5" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B85635DE804"	"HTTPS://QR.NIKE.COM/045QVQA8QD52M"	"9"	"RED"	"6" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B85CCB81004"	"HTTPS://QR.NIKE.COM/04GFTG2YKGMNH"	"9"	"RED"	"7" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B863C4E7404"	"HTTPS://QR.NIKE.COM/04BHM6EWJSCYS"	"9"	"RED"	"8" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B88076D2004"	"HTTPS://QR.NIKE.COM/04CW0WXK2Z0EW"	"9"	"RED"	"9" 
"1"	"II7348"	"072"	"SPTCAS"	"L"	"KIDS"	"198726159826"	"1880"	"大童上衣"	"印度製"	"國外委製商：NIKE Inc."	"進口商：台灣耐基商業有限公司"	"住址：台北市敦化南路一段二號15樓"	"電話：02-81612799"	"統一編號：53762288"	"製造日期："	"建議 零售價"	"--DO NOT PRINT--"	"--DO NOT PRINT--"	"2025-09-22"	"NT$"	"6201942460"	"RED"	"7500000QER"	"30340C21180F9B8834014404"	"HTTPS://QR.NIKE.COM/04VV2CG6N9GV9"	"9"	"RED"	"10" 
