NIKEPO,COLOR+SIZE,ORDERNO,QTY
4510752875,BLUE 51x44,7500000QA4-220,68
4510752875,GREEN 51x44,7500000QA4-220,27
4510752875,RED 51x44,7500000QA4-220,67
4510752875,WHITE 51x44,7500000QA4-220,16
4510752875,YELLOW 51x44,7500000QA4-220,42
6201951168,BLUE 47x39,7500000QD6-4571,1143
6201951168,GREEN 47x39,7500000QD6-4571,1143
6201951168,RED 47x39,7500000QD6-4571,1143
6201951168,WHITE 47x39,7500000QD6-4571,380
6201951168,YELLOW 47x39,7500000QD6-4571,762
6201942460,BLUE 47x62,7500000QER-799,197
6201942460,GREEN 47x62,7500000QER-799,185
6201942460,RED 47x62,7500000QER-799,211
6201942460,SILVER 47x62,7500000QER-799,90
6201942460,YELLOW 47x62,7500000QER-799,116
6201944546,BLUE 47x33,7500000QFY-1681,468
6201944546,GREEN 47x33,7500000QFY-1681,368
6201944546,RED 47x33,7500000QFY-1681,508
6201944546,WHITE 47x33,7500000QFY-1681,202
6201944546,YELLOW 47x33,7500000QFY-1681,135
